lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
20.5263157894737,0.915789473684211,Male,AV Replacement + CAB,0.0229,0.15913,0.00182,0.07662,0.01246,0.09406,0.03083,0.08801,0.36162
20.5263157894737,0.915789473684211,Female,AV Replacement + CAB,0.03188,0.18939,0.00213,0.10294,0.01477,0.1397,0.03786,0.08259,0.24867
20.5263157894737,1.03157894736842,Male,AV Replacement + CAB,0.02409,0.16723,0.00182,0.08009,0.0128,0.09789,0.03378,0.09032,0.34898
20.5263157894737,1.03157894736842,Female,AV Replacement + CAB,0.03352,0.19867,0.00213,0.10746,0.01517,0.14509,0.04145,0.08477,0.23851
20.5263157894737,1.14736842105263,Male,AV Replacement + CAB,0.02534,0.17566,0.00182,0.0837,0.01314,0.10186,0.03701,0.09269,0.33655
20.5263157894737,1.14736842105263,Female,AV Replacement + CAB,0.03524,0.20828,0.00213,0.11215,0.01559,0.15066,0.04538,0.08701,0.22863
20.5263157894737,1.26315789473684,Male,AV Replacement + CAB,0.02665,0.18442,0.00182,0.08745,0.0135,0.10598,0.04052,0.09512,0.32434
20.5263157894737,1.26315789473684,Female,AV Replacement + CAB,0.03705,0.21824,0.00213,0.11702,0.01601,0.1564,0.04965,0.0893,0.21904
20.5263157894737,1.37894736842105,Male,AV Replacement + CAB,0.02803,0.19351,0.00182,0.09136,0.01387,0.11023,0.04436,0.0976,0.31237
20.5263157894737,1.37894736842105,Female,AV Replacement + CAB,0.03894,0.22853,0.00213,0.12207,0.01645,0.16231,0.0543,0.09165,0.20976
20.5263157894737,1.49473684210526,Male,AV Replacement + CAB,0.02948,0.20294,0.00182,0.09542,0.01425,0.11464,0.04854,0.10014,0.30065
20.5263157894737,1.49473684210526,Female,AV Replacement + CAB,0.04093,0.23916,0.00213,0.12731,0.01689,0.16841,0.05936,0.09405,0.20075
20.5263157894737,1.61052631578947,Male,AV Replacement + CAB,0.031,0.21271,0.00182,0.09965,0.01464,0.1192,0.0531,0.10273,0.28917
20.5263157894737,1.61052631578947,Female,AV Replacement + CAB,0.04301,0.25013,0.00213,0.13274,0.01735,0.17468,0.06487,0.0965,0.19205
20.5263157894737,1.72631578947368,Male,AV Replacement + CAB,0.0326,0.22282,0.00182,0.10404,0.01503,0.12391,0.05806,0.10539,0.27796
20.5263157894737,1.72631578947368,Female,AV Replacement + CAB,0.0452,0.26142,0.00213,0.13837,0.01782,0.18114,0.07084,0.09902,0.18363
20.5263157894737,1.84210526315789,Male,AV Replacement + CAB,0.03427,0.23327,0.00182,0.10861,0.01544,0.12879,0.06345,0.10811,0.26702
20.5263157894737,1.84210526315789,Female,AV Replacement + CAB,0.04749,0.27305,0.00213,0.1442,0.01831,0.18779,0.07732,0.10159,0.1755
20.5263157894737,1.95789473684211,Male,AV Replacement + CAB,0.03603,0.24405,0.00182,0.11334,0.01586,0.13383,0.0693,0.11089,0.25636
20.5263157894737,1.95789473684211,Female,AV Replacement + CAB,0.04989,0.28498,0.00213,0.15022,0.0188,0.19462,0.08434,0.10422,0.16766
20.5263157894737,2.07368421052632,Male,AV Replacement + CAB,0.03788,0.25517,0.00182,0.11826,0.0163,0.13903,0.07565,0.11373,0.24598
